Source,Target,Type
0,85,BELONGS_TO
1,85,BELONGS_TO
2,86,BELONGS_TO
3,87,BELONGS_TO
4,88,BELONGS_TO
5,86,BELONGS_TO
6,86,BELONGS_TO
7,89,BELONGS_TO
8,89,BELONGS_TO
9,90,BELONGS_TO
10,89,BELONGS_TO
11,87,BELONGS_TO
12,87,BELONGS_TO
13,91,BELONGS_TO
14,87,BELONGS_TO
15,87,BELONGS_TO
16,90,BELONGS_TO
17,86,BELONGS_TO
18,91,BELONGS_TO
19,88,BELONGS_TO
20,86,BELONGS_TO
21,85,BELONGS_TO
22,89,BELONGS_TO
23,87,BELONGS_TO
24,90,BELONGS_TO
25,87,BELONGS_TO
26,92,BELONGS_TO
27,85,BELONGS_TO
28,91,BELONGS_TO
29,92,BELONGS_TO
30,89,BELONGS_TO
31,85,BELONGS_TO
32,89,BELONGS_TO
33,90,BELONGS_TO
34,88,BELONGS_TO
35,90,BELONGS_TO
36,85,BELONGS_TO
37,85,BELONGS_TO
38,89,BELONGS_TO
39,86,BELONGS_TO
40,91,BELONGS_TO
41,87,BELONGS_TO
42,87,BELONGS_TO
43,87,BELONGS_TO
44,85,BELONGS_TO
45,87,BELONGS_TO
46,85,BELONGS_TO
47,91,BELONGS_TO
48,88,BELONGS_TO
49,91,BELONGS_TO
50,92,BELONGS_TO
51,85,BELONGS_TO
52,88,BELONGS_TO
53,87,BELONGS_TO
54,86,BELONGS_TO
55,85,BELONGS_TO
56,85,BELONGS_TO
57,91,BELONGS_TO
58,87,BELONGS_TO
59,85,BELONGS_TO
60,88,BELONGS_TO
61,92,BELONGS_TO
62,90,BELONGS_TO
63,92,BELONGS_TO
64,88,BELONGS_TO
65,91,BELONGS_TO
66,92,BELONGS_TO
67,90,BELONGS_TO
68,89,BELONGS_TO
69,85,BELONGS_TO
70,92,BELONGS_TO
71,89,BELONGS_TO
72,91,BELONGS_TO
73,88,BELONGS_TO
74,85,BELONGS_TO
75,88,BELONGS_TO
76,87,BELONGS_TO
77,85,BELONGS_TO
78,89,BELONGS_TO
79,88,BELONGS_TO
80,90,BELONGS_TO
81,91,BELONGS_TO
82,85,BELONGS_TO
83,91,BELONGS_TO
84,85,BELONGS_TO
93,5,LOCATED_IN
93,95,CONSUMES
94,82,LOCATED_IN
94,96,CONSUMES
