Id,Label,Type,EIII_Score,Gas_Demand_Proxy
0,г. Москва,Region,92.3,956.4
1,Московская область,Region,71.1,724.8
2,Тюменская область,Region,59.5,2419.4
3,Республика Татарстан,Region,53.0,615.0
4,г. Санкт-Петербург,Region,52.4,525.8
5,Свердловская область,Region,51.0,595.7
6,Ямало-Ненецкий АО,Region,49.5,726.8
7,Красноярский край,Region,48.6,747.4
8,Кемеровская область,Region,45.4,550.0
9,Краснодарский край,Region,44.7,366.6
10,Иркутская область,Region,42.9,441.1
11,Самарская область,Region,41.0,387.6
12,Нижегородская область,Region,41.0,398.4
13,Республика Саха (Якутия),Region,40.8,377.5
14,Республика Башкортостан,Region,40.0,352.9
15,Пермский край,Region,38.2,349.5
16,Ростовская область,Region,37.7,281.3
17,Ханты-Мансийский АО – Югра,Region,37.2,1349.1
18,Сахалинская область,Region,35.6,380.5
19,Ленинградская область,Region,34.1,210.6
20,Челябинская область,Region,32.6,445.5
21,Воронежская область,Region,32.3,185.3
22,Новосибирская область,Region,30.7,202.9
23,Саратовская область,Region,29.9,160.1
24,Волгоградская область,Region,29.4,212.5
25,Удмуртская Республика,Region,28.9,166.0
26,Ставропольский край,Region,28.8,129.4
27,Тульская область,Region,28.0,143.8
28,Хабаровский край,Region,27.6,129.3
29,Республика Дагестан,Region,27.2,68.1
30,Омская область,Region,26.8,196.5
31,Владимирская область,Region,26.0,102.6
32,Алтайский край,Region,25.9,114.6
33,Астраханская область,Region,25.8,106.0
34,Калининградская область,Region,25.6,96.3
35,Республика Крым,Region,25.6,77.7
36,Тверская область,Region,25.6,82.0
37,Калужская область,Region,25.5,99.7
38,Томская область,Region,25.3,142.1
39,Тюменская обл. без АО,Region,25.2,343.6
40,Забайкальский край,Region,25.1,77.2
41,Кировская область,Region,24.8,79.8
42,Пензенская область,Region,24.7,76.7
43,Ульяновская область,Region,24.6,77.5
44,Ярославская область,Region,24.6,117.7
45,Чувашская Республика,Region,24.4,73.3
46,Брянская область,Region,24.2,74.1
47,Республика Бурятия,Region,24.1,63.2
48,Республика Коми,Region,23.9,154.2
49,Приморский край,Region,23.9,122.0
50,Чеченская Республика,Region,23.3,28.3
51,Тамбовская область,Region,23.3,60.4
52,Новгородская область,Region,23.1,53.3
53,Республика Мордовия,Region,23.1,55.2
54,Курганская область,Region,23.0,51.7
55,Орловская область,Region,22.8,49.5
56,Смоленская область,Region,22.8,62.1
57,Чукотский АО,Region,22.8,50.2
58,Республика Марий Эл,Region,22.4,41.4
59,Ивановская область,Region,22.4,44.7
60,Псковская область,Region,22.1,33.1
61,Кабардино-Балкарская Республика,Region,22.1,28.6
62,г. Севастополь,Region,21.9,19.5
63,Республика Северная Осетия – Алания,Region,21.9,25.7
64,Вологодская область,Region,21.7,146.4
65,Камчатский край,Region,21.7,24.8
66,Карачаево-Черкесская Республика,Region,21.3,17.6
67,Республика Адыгея,Region,21.3,18.6
68,Республика Хакасия,Region,21.0,68.9
69,Рязанская область,Region,20.9,92.8
70,Республика Ингушетия,Region,20.9,7.4
71,Республика Алтай,Region,20.6,7.4
72,Амурская область,Region,20.4,78.4
73,Архангельская область,Region,20.1,98.4
74,Костромская область,Region,19.7,38.6
75,Республика Карелия,Region,19.7,54.3
76,Оренбургская область,Region,19.3,281.7
77,Курская область,Region,18.6,123.0
78,Республика Тыва,Region,18.6,14.6
79,Мурманская область,Region,18.5,114.9
80,Республика Калмыкия,Region,17.9,13.1
81,Магаданская область,Region,16.7,37.7
82,Липецкая область,Region,14.8,146.8
83,Еврейская АО,Region,11.9,13.9
84,Белгородская область,Region,11.8,233.9
85,Центральный,FederalDistrict,0,0
86,Уральский,FederalDistrict,0,0
87,Приволжский,FederalDistrict,0,0
88,Северо-Западный,FederalDistrict,0,0
89,Сибирский,FederalDistrict,0,0
90,Южный,FederalDistrict,0,0
91,Дальневосточный,FederalDistrict,0,0
92,Северо-Кавказский,FederalDistrict,0,0
93,EVRAZ,Company,0,0
94,NLMK,Company,0,0
95,null,GasProduct,0,0
96,null,GasProduct,0,0
