Iteration;Oil_Price_USD;Sanctions_Years;RUB_EUR;Industrial_Growth_pct;Win_Rate_pct;CAPEX_Overrun;Revenue_M_EUR_yr;NPV_M_EUR;ROI_5yr_pct;Payback_Years
1;78.9409;3.2816;88.704;5.1083;50.7279;1.0263;1.5082;-12.3188;-51.018;10.2078
2;67.5112;2.0642;77.3355;4.0047;35.8709;1.0636;1.2102;-15.8543;-62.0728;13.1831
3;81.6584;1.8059;113.3716;6.1613;49.8308;1.1345;1.3116;-16.284;-61.4651;12.9753
4;97.4145;1.9963;65.2649;3.4937;56.5139;1.1054;2.3913;-8.8798;-27.8906;6.9339
5;65.7852;4.7332;93.5233;2.6527;57.8915;1.0136;1.0727;-15.4492;-64.723;14.1735
6;65.7855;1.6077;60.0;5.8185;43.4691;0.9727;2.2836;-6.9184;-21.7434;6.3892
7;98.4258;3.3596;71.5982;3.9908;30.5314;1.2447;1.1079;-20.2816;-70.331;16.8526
8;83.8138;5.9488;80.3094;4.1252;43.5759;0.9061;0.9733;-13.7538;-64.197;13.9653
9;61.5495;3.1498;131.5453;3.6596;75.068;1.3126;1.2666;-21.0409;-67.8343;15.5445
10;79.7661;6.0326;118.771;3.8908;64.9153;0.8921;0.9585;-13.1867;-64.1854;13.9608
11;61.6585;5.8858;87.0677;6.7046;37.6963;0.9448;0.9721;-14.6233;-65.7056;14.5796
12;61.6169;2.9163;120.0025;7.0937;70.8524;1.1522;1.484;-15.882;-57.0671;11.6461
13;74.3553;5.7534;124.8454;7.2925;73.5271;1.6049;1.182;-27.5429;-75.4495;20.3662
14;35.561;5.9045;96.063;6.2352;77.2851;0.8;1.3813;-8.4381;-42.4449;8.6873
15;38.9515;3.67;70.7446;5.2994;69.7324;1.1891;3.0117;-7.3069;-15.5707;5.9221
16;59.8788;2.7355;94.935;2.4516;53.5581;1.0991;1.4611;-14.5334;-55.6884;11.2837
17;51.769;4.3577;97.5824;4.3187;58.1211;0.9133;1.2332;-11.7677;-54.9912;11.1089
18;75.6565;7.7137;73.4832;7.8351;52.8764;1.0745;1.1211;-16.3662;-65.2205;14.3763
19;53.6556;5.1045;109.6104;3.9466;43.743;0.8;0.8493;-12.2301;-64.6141;14.1299
20;44.5785;2.5266;107.2458;6.8712;82.0054;0.8534;2.0793;-5.2769;-18.7779;6.156
21;96.3817;5.4069;111.7686;4.6826;87.7453;1.0894;1.5289;-13.6002;-53.216;10.6874
22;65.936;3.8282;107.2219;0.5828;82.8055;0.8174;1.6347;-7.5763;-33.337;7.5004
23;71.2155;4.7882;120.0167;5.5607;56.9455;1.0307;0.923;-16.9223;-70.1489;16.7498
24;44.3545;5.7947;95.6158;6.4994;55.2841;0.8757;1.1446;-11.7586;-56.4309;11.476
25;60.2011;4.3206;105.174;4.5265;81.3701;0.9133;1.8171;-8.0264;-33.6819;7.5394
26;71.9966;6.4829;90.5349;6.4496;90.4722;1.2401;1.9134;-14.4315;-48.5677;9.7215
27;49.2821;5.7016;86.405;2.0983;67.7201;0.8;1.2418;-9.4866;-48.2578;9.6633
28;76.7626;4.9406;139.7329;2.5217;86.0929;0.9933;1.1071;-14.7329;-62.8476;13.4581
29;59.1885;2.3924;60.0;4.9073;78.6995;1.1004;4.5589;5.003;38.0931;3.6207
30;64.7495;6.6971;124.5068;5.3157;62.3968;1.053;0.826;-17.8332;-73.8524;19.1222
31;59.1693;7.9355;85.6299;6.6349;45.6744;0.8884;0.726;-14.8434;-72.7586;18.3544
32;103.341;2.3036;82.9021;5.5584;60.2255;1.0758;2.3632;-9.1381;-26.775;6.8283
33;69.757;4.1663;106.758;2.8096;60.0132;0.8139;1.1693;-10.3921;-52.1109;10.4408
34;50.9612;2.9796;68.9077;4.9196;69.6451;0.9072;2.4579;-4.6967;-9.6897;5.5365
35;84.8058;5.9597;81.5458;5.5011;51.9313;1.3746;1.2192;-22.3515;-70.4354;16.9121
36;48.0248;5.6975;80.8734;1.7886;81.838;1.1364;2.1144;-11.6154;-37.9797;8.0619
37;73.7595;2.3292;94.6154;4.5345;37.7561;1.0006;1.0536;-15.258;-64.9007;14.2453
38;34.7259;7.1403;81.7884;4.0966;67.7728;1.0942;1.0973;-16.7594;-66.5719;14.9575
39;46.0927;2.5732;149.2242;3.618;58.1262;0.8511;0.9287;-12.728;-63.6288;13.7472
40;73.5435;6.3282;156.7143;5.3482;43.9639;1.0579;0.5273;-19.7009;-83.3843;30.092
41;83.2924;3.9908;60.3205;2.8755;64.8369;0.9137;2.2625;-5.3659;-17.4581;6.0575
42;73.0846;3.3164;114.5774;5.2253;46.063;0.8905;0.9352;-13.6379;-64.9938;14.2832
43;67.9183;2.4386;123.9448;5.4392;63.2149;0.9755;1.2977;-13.2761;-55.6574;11.2758
44;64.5801;2.4952;114.5391;6.2256;59.4002;0.8867;1.4306;-10.1909;-46.2191;9.297
45;43.3866;5.2582;84.8294;2.9149;62.9365;1.0286;1.4323;-13.6644;-53.585;10.7724
46;57.0428;4.5322;94.0801;2.3421;60.1765;1.0869;1.2912;-15.497;-60.4014;12.6267
47;61.7085;2.2028;82.9387;5.0184;50.6034;0.9469;1.6334;-10.7165;-42.4994;8.6956
48;89.0282;2.136;90.0265;4.1706;75.3803;0.8;2.2494;-4.3603;-6.2753;5.3348
49;76.1851;1.8105;73.8975;8.954;68.2906;0.8405;2.7675;-1.2624;9.7508;4.5558
50;38.2653;5.8721;97.1711;5.2877;66.0094;0.8055;1.1211;-10.5181;-53.6046;10.7769
51;75.8335;5.6228;68.6808;4.6872;79.9517;1.0769;2.1178;-9.9203;-34.4474;7.6275
52;63.0685;1.678;95.1197;4.3408;74.8959;0.8642;3.151;0.7639;21.5335;4.1141
53;57.8154;4.5924;73.1875;2.7729;47.0727;0.9047;1.19;-12.0374;-56.1528;11.4032
54;81.0102;1.9181;105.3064;5.4458;61.4506;1.1829;1.7436;-14.7896;-50.8662;10.1763
55;88.558;7.47;84.3787;4.4813;47.3953;0.8555;0.8952;-12.8856;-65.1201;14.3349
56;86.763;7.5147;107.5349;4.4825;57.854;1.0414;0.803;-17.8202;-74.2968;19.4528
57;54.8941;5.5203;131.0482;4.7417;74.7197;0.8838;1.0316;-12.6998;-61.0897;12.8501
58;64.4342;7.7845;148.7894;4.9318;39.6455;0.9101;0.4419;-17.078;-83.8146;30.8919
59;75.9627;6.459;60.0;1.9911;62.5185;0.8;1.6126;-6.7767;-32.8074;7.4413
60;87.5598;6.6233;81.1762;5.8555;55.4307;0.901;1.1825;-12.1593;-56.2525;11.4292
61;61.3749;4.6508;92.7028;3.3303;60.2918;1.1069;1.1576;-16.8006;-65.1376;14.3421
62;66.6581;3.2068;112.1965;4.393;38.4946;0.8245;0.9892;-11.5986;-60.0072;12.5022
63;50.086;2.7744;66.1935;6.5289;30.9318;0.8667;1.3131;-10.5956;-49.4942;9.8999
64;48.4683;3.3111;78.2295;7.2692;33.4731;1.5496;1.0178;-27.0046;-78.1063;22.8376
65;84.6255;5.0296;103.3126;2.0493;50.087;1.0527;0.943;-16.8288;-70.1399;16.7447
66;94.4123;2.525;102.1449;4.6454;80.1868;1.07;2.1338;-9.2393;-33.5287;7.522
67;68.7038;2.9784;109.9004;5.0094;43.4462;0.8823;1.0888;-12.5901;-58.8637;12.1547
68;88.0636;4.0524;111.7304;2.3387;83.5533;1.2318;1.6095;-16.7715;-56.4433;11.4793
69;76.5094;2.8526;108.8335;5.8039;65.8466;1.2725;1.6709;-16.6019;-56.2309;11.4236
70;58.3878;4.7698;104.9605;4.7744;52.4261;0.886;0.9007;-13.8638;-66.1134;14.7551
71;76.5051;7.7397;101.4032;4.8912;59.0145;1.2383;0.8521;-21.7431;-77.0621;21.798
72;97.6847;5.9071;118.0798;3.2237;57.4344;1.3073;0.9079;-22.8048;-76.8517;21.5999
73;69.3551;5.2902;60.0;5.2193;29.8091;0.8;0.9048;-11.8425;-62.3021;13.2633
74;98.1636;4.7323;147.1207;5.8573;76.2685;1.1876;1.1739;-18.5159;-67.0516;15.1752
75;30.0;4.1646;60.0;4.7909;62.3741;0.8583;1.8607;-6.9259;-27.7349;6.919
76;84.7942;2.605;76.3539;3.8291;52.8068;1.3036;1.781;-17.3018;-54.4572;10.9787
