Region_Oblast;Federal_District;lat;lng
Белгородская область;Центральный;50.595;36.587
Брянская область;Центральный;53.243;34.364
Владимирская область;Центральный;56.129;40.407
Воронежская область;Центральный;51.672;39.184
Ивановская область;Центральный;57.0;41.0
Калужская область;Центральный;54.507;36.252
Костромская область;Центральный;57.767;40.927
Курская область;Центральный;51.757;36.174
Липецкая область;Центральный;52.609;39.599
Московская область;Центральный;55.56;37.85
Орловская область;Центральный;52.97;36.063
Рязанская область;Центральный;54.629;39.741
Смоленская область;Центральный;54.782;32.046
Тамбовская область;Центральный;52.721;41.452
Тверская область;Центральный;56.859;35.912
Тульская область;Центральный;54.193;37.617
Ярославская область;Центральный;57.626;39.893
г. Москва;Центральный;55.751;37.618
Республика Карелия;Северо-Западный;63.77;32.48
Республика Коми;Северо-Западный;63.846;54.846
Архангельская область;Северо-Западный;64.544;40.537
Вологодская область;Северо-Западный;59.22;39.891
Калининградская область;Северо-Западный;54.71;20.451
Ленинградская область;Северо-Западный;60.079;30.993
Мурманская область;Северо-Западный;68.97;33.075
Новгородская область;Северо-Западный;58.522;31.269
Псковская область;Северо-Западный;57.819;28.332
г. Санкт-Петербург;Северо-Западный;59.934;30.335
Республика Адыгея;Южный;44.608;40.131
Республика Калмыкия;Южный;46.308;44.256
Республика Крым;Южный;45.184;34.365
Краснодарский край;Южный;45.035;38.975
Астраханская область;Южный;46.347;48.033
Волгоградская область;Южный;48.708;44.514
Ростовская область;Южный;47.222;39.72
г. Севастополь;Южный;44.616;33.524
Республика Дагестан;Северо-Кавказский;42.98;47.502
Республика Ингушетия;Северо-Кавказский;43.17;44.827
Кабардино-Балкарская Республика;Северо-Кавказский;43.485;43.607
Карачаево-Черкесская Республика;Северо-Кавказский;43.773;41.726
Республика Северная Осетия – Алания;Северо-Кавказский;43.028;44.682
Чеченская Республика;Северо-Кавказский;43.317;45.698
Ставропольский край;Северо-Кавказский;45.044;43.0
Республика Башкортостан;Приволжский;54.735;55.958
Республика Марий Эл;Приволжский;56.635;47.875
Республика Мордовия;Приволжский;54.191;44.019
Республика Татарстан;Приволжский;55.796;49.106
Удмуртская Республика;Приволжский;57.066;53.028
Чувашская Республика;Приволжский;55.774;47.321
Пермский край;Приволжский;58.01;56.229
Кировская область;Приволжский;58.603;49.668
Нижегородская область;Приволжский;56.329;44.002
Оренбургская область;Приволжский;51.768;55.097
Пензенская область;Приволжский;53.194;45.019
Самарская область;Приволжский;53.195;50.134
Саратовская область;Приволжский;51.533;46.034
Ульяновская область;Приволжский;54.314;48.404
Курганская область;Уральский;55.447;65.341
Свердловская область;Уральский;56.838;60.605
Тюменская область;Уральский;57.153;68.969
Ханты-Мансийский АО – Югра;Уральский;61.004;69.019
Ямало-Ненецкий АО;Уральский;67.64;72.149
Тюменская обл. без АО;Уральский;57.153;68.969
Челябинская область;Уральский;54.729;61.403
Республика Алтай;Сибирский;50.712;86.857
Республика Тыва;Сибирский;51.721;94.437
Республика Хакасия;Сибирский;53.721;91.442
Алтайский край;Сибирский;52.604;82.619
Красноярский край;Сибирский;62.028;95.686
Иркутская область;Сибирский;52.286;104.281
Кемеровская область;Сибирский;54.357;86.087
Новосибирская область;Сибирский;55.03;82.92
Омская область;Сибирский;54.982;73.369
Томская область;Сибирский;58.598;80.565
Республика Бурятия;Дальневосточный;54.989;110.088
Республика Саха (Якутия);Дальневосточный;62.034;129.737
Забайкальский край;Дальневосточный;52.035;113.5
Камчатский край;Дальневосточный;53.011;158.654
Приморский край;Дальневосточный;44.102;131.874
Хабаровский край;Дальневосточный;51.805;135.112
Амурская область;Дальневосточный;54.317;127.527
Магаданская область;Дальневосточный;59.563;150.793
Сахалинская область;Дальневосточный;50.69;142.734
Еврейская АО;Дальневосточный;48.48;132.166
Чукотский АО;Дальневосточный;64.74;177.497
