Scenario;Region_Oblast;Opportunity_ID;Federal_District;EIII_Score;Sanctions_Multiplier;Revenue_M_EUR_yr;CAPEX_Required_M_EUR;ROI_Payback_Years;Top_Gas_Product;BD_Priority;Notes
Baseline_Sanctions_2025;Тюменская область;AL-RU-ТЮМЕ-2025;Уральский;59.5;1.0;0.48;3.2;6.7;H2+CO2;TIER 1 - CRITIQUE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Тюменская область;AL-RU-ТЮМЕ-2025;Уральский;59.5;1.4;0.67;3.2;4.8;H2+CO2;TIER 1 - CRITIQUE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Тюменская область;AL-RU-ТЮМЕ-2025;Уральский;59.5;2.0;0.96;3.2;3.3;H2+CO2;TIER 1 - CRITIQUE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Тюменская область;AL-RU-ТЮМЕ-2025;Уральский;59.5;2.8;1.34;3.2;2.4;H2+CO2;TIER 1 - CRITIQUE;Scénario Recovery_2028 x2.8
Boom_2030;Тюменская область;AL-RU-ТЮМЕ-2025;Уральский;59.5;4.2;2.02;3.2;1.6;H2+CO2;TIER 1 - CRITIQUE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Ханты-Мансийский АО – Югра;AL-RU-ХАНТ-2025;Уральский;37.2;1.0;0.27;1.8;6.7;H2+CO2;TIER 1 - CRITIQUE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Ханты-Мансийский АО – Югра;AL-RU-ХАНТ-2025;Уральский;37.2;1.4;0.38;1.8;4.8;H2+CO2;TIER 1 - CRITIQUE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Ханты-Мансийский АО – Югра;AL-RU-ХАНТ-2025;Уральский;37.2;2.0;0.54;1.8;3.3;H2+CO2;TIER 1 - CRITIQUE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Ханты-Мансийский АО – Югра;AL-RU-ХАНТ-2025;Уральский;37.2;2.8;0.76;1.8;2.4;H2+CO2;TIER 1 - CRITIQUE;Scénario Recovery_2028 x2.8
Boom_2030;Ханты-Мансийский АО – Югра;AL-RU-ХАНТ-2025;Уральский;37.2;4.2;1.13;1.8;1.6;H2+CO2;TIER 1 - CRITIQUE;Scénario Boom_2030 x4.2
