Opportunity_ID,Region_Oblast,Federal_District,EIII_Score,BD_Priority,Gas_Demand_Proxy_bln_rub,Est_CAPEX_Potential_M_EUR,O2_Score,N2_Score,H2_Score,CO2_Score,Top_Gas_Product,Key_Clients_Target,Stage_BD,Est_Revenue_M_EUR_yr,Sanctions_Risk_Lift_Multiplier,Revenue_Post_Sanctions_M_EUR_yr,Notes
AL-RU-ТЮМЕ-2025,Тюменская область,Уральский,59.5,TIER 1 - CRITIQUE,2419.4,3.2,10.0,10.0,10.0,10.0,H2+CO2,Rosstat p.19-20,Prospection,0.48,2.5,1.2,EIII=59.5 | GasProxy=2419.4 Mrd RUB | TIER 1 - CRITIQUE
AL-RU-ХАНТ-2025,Ханты-Мансийский АО – Югра,Уральский,37.2,TIER 1 - CRITIQUE,1349.1,1.8,10.0,10.0,10.0,5.4,H2+CO2,Rosstat p.19-20,Prospection,0.27,2.5,0.67,EIII=37.2 | GasProxy=1349.1 Mrd RUB | TIER 1 - CRITIQUE
AL-RU-Г.М-2025,г. Москва,Центральный,92.3,TIER 1 - CRITIQUE,956.4,1.3,10.0,10.0,10.0,10.0,H2+CO2,Rosstat p.19-20,Prospection,0.19,2.5,0.47,EIII=92.3 | GasProxy=956.4 Mrd RUB | TIER 1 - CRITIQUE
AL-RU-КРАС-2025,Красноярский край,Сибирский,48.6,TIER 1 - CRITIQUE,747.4,1.0,10.0,10.0,10.0,10.0,H2+CO2,Rosstat p.19-20,Prospection,0.15,2.5,0.37,EIII=48.6 | GasProxy=747.4 Mrd RUB | TIER 1 - CRITIQUE
AL-RU-ЯМАЛ-2025,Ямало-Ненецкий АО,Уральский,49.5,TIER 1 - CRITIQUE,726.8,1.0,10.0,10.0,6.0,2.3,O2+N2,Rosstat p.19-20,Prospection,0.14,2.5,0.36,EIII=49.5 | GasProxy=726.8 Mrd RUB | TIER 1 - CRITIQUE
AL-RU-МОСК-2025,Московская область,Центральный,71.1,TIER 1 - CRITIQUE,724.8,1.0,10.0,10.0,10.0,10.0,H2+CO2,Rosstat p.19-20,Prospection,0.14,2.5,0.36,EIII=71.1 | GasProxy=724.8 Mrd RUB | TIER 1 - CRITIQUE
AL-RU-РЕСП-2025,Республика Татарстан,Приволжский,53.0,TIER 1 - CRITIQUE,615.0,0.8,10.0,10.0,10.0,10.0,H2+CO2,Rosstat p.19-20,Prospection,0.12,2.5,0.3,EIII=53.0 | GasProxy=615.0 Mrd RUB | TIER 1 - CRITIQUE
AL-RU-СВЕР-2025,Свердловская область,Уральский,51.0,TIER 1 - CRITIQUE,595.7,0.8,10.0,10.0,10.0,10.0,H2+CO2,Rosstat p.19-20,Prospection,0.12,2.5,0.29,EIII=51.0 | GasProxy=595.7 Mrd RUB | TIER 1 - CRITIQUE
AL-RU-КЕМЕ-2025,Кемеровская область,Сибирский,45.4,TIER 1 - CRITIQUE,550.0,0.7,10.0,10.0,10.0,9.2,H2+CO2,Rosstat p.19-20,Prospection,0.11,2.5,0.27,EIII=45.4 | GasProxy=550.0 Mrd RUB | TIER 1 - CRITIQUE
AL-RU-Г.С-2025,г. Санкт-Петербург,Северо-Западный,52.4,TIER 1 - CRITIQUE,525.8,0.7,10.0,10.0,10.0,10.0,H2+CO2,Rosstat p.19-20,Prospection,0.1,2.5,0.26,EIII=52.4 | GasProxy=525.8 Mrd RUB | TIER 1 - CRITIQUE
AL-RU-ЧЕЛЯ-2025,Челябинская область,Уральский,32.6,TIER 2 - HAUTE,445.5,0.6,10.0,10.0,10.0,10.0,H2+CO2,Rosstat p.19-20,Prospection,0.09,2.5,0.22,EIII=32.6 | GasProxy=445.5 Mrd RUB | TIER 2 - HAUTE
