Region_Oblast;Federal_District;EIII_Regional_Score;Investment_Signal;Pilier_Economie_25pct;Pilier_Industrie_Lourde_20pct;Pilier_Energie_20pct;Pilier_Logistique_15pct;Pilier_Dynamisme_20pct;GRP_2023_bln_rub;Investment_2024_bln_rub;Gas_Demand_Proxy_bln_rub;Est_ROI_Potential_bln_rub_yr;Industrial_Index_2024;Population_thou;Source_Rosstat_Page
г. Москва;Центральный;92.3;🟢 BUY;99.0;75.3;100.0;50.0;100.0;30820.0;6410.0;956.4;76.5;106.3;13149.0;"Rosstat p.19-20; headquarters sector, pharma, food, printing"
Московская область;Центральный;71.1;🟢 BUY;25.1;57.0;67.7;82.8;100.0;6890.0;1820.0;724.8;58.0;110.2;8706.0;"Rosstat p.19-20; pharma, food processing, chemicals, logistics hub"
Тюменская область;Уральский;59.5;🟡 WATCH;62.8;100.0;62.1;26.3;52.0;15800.0;4850.0;2419.4;193.6;100.2;3830.0;"Rosstat p.19-20; incl. KhMAO+YANAO; Rosneft/Lukoil/Gazprom - N°1 oil+gas Russie"
Республика Татарстан;Приволжский;53.0;🟡 WATCH;17.5;58.8;25.5;30.7;100.0;4220.0;1385.0;615.0;49.2;106.1;4033.0;"Rosstat p.19-20; Tatneft, KamAZ, TANECO refinery, Kazanorgsintez petrochemicals - MAJEUR"
г. Санкт-Петербург;Северо-Западный;52.4;🟡 WATCH;19.8;43.0;39.5;31.9;100.0;6150.0;1285.0;525.8;42.1;107.8;5601.0;"Rosstat p.19-20; shipbuilding, pharma, electronics, port St-Petersburg"
Свердловская область;Уральский;51.0;🟡 WATCH;15.6;53.2;29.8;24.6;100.0;3985.0;1195.0;595.7;47.7;105.5;4252.0;"Rosstat p.19-20; EVRAZ, NLMK, Uralvagonzavod, VSMPO titanium, copper UGMK - MAJEUR O2/N2"
Ямало-Ненецкий АО;Уральский;49.5;🟡 WATCH;22.2;93.9;23.4;3.9;100.0;5280.0;1780.0;726.8;58.1;105.4;568.0;"Rosstat p.19-20; YANAO N°1 gaz naturel Russie 85% prod; Gazprom, Novatek, YAMALLNG"
Красноярский край;Сибирский;48.6;🟡 WATCH;18.8;78.8;26.6;13.2;88.0;4580.0;1485.0;747.4;59.8;103.8;2827.0;"Rosstat p.19-20; Norilsk Nickel (nickel/copper/PGM), RUSAL aluminium, coal, forestry - MAJEUR"
Кемеровская область;Сибирский;45.4;🟡 WATCH;10.8;62.0;20.2;9.5;88.0;2850.0;812.0;550.0;44.0;103.8;2611.0;"Rosstat p.19-20; Kuzbass N°1 charbon Russie 60%, EVRAZ steel Novokuznetsk, chemicals"
Краснодарский край;Южный;44.7;🟡 WATCH;14.9;27.6;23.9;47.4;100.0;4250.0;1050.0;366.6;29.3;108.4;5943.0;"Rosstat p.19-20; Novorossiysk port (N°1 Russie), oil, agro, tourism, cement"
