Region_Oblast;Federal_District;Population_2024_thou;GRP_PRB_2023_bln_rub;Investment_Fixed_Capital_bln_rub;Industrial_Production_Index_2024;Metallurgy_Mining_Output_bln_rub;Chemical_Petrochemical_Output_bln_rub;Manufacturing_Total_bln_rub;Energy_Gas_Water_Supply_bln_rub;Agriculture_Output_bln_rub;Construction_Volume_thou_m2;Retail_Trade_bln_rub;Avg_Monthly_Wage_RUB;Agriculture_Index_2024;Gas_Industrial_Demand_Proxy_bln_rub;EIII_Regional_Score;Top_Opportunity_Sector_For_Gases;Source_Rosstat_Page
г. Москва;Центральный;13149.0;30820.0;6410.0;106.3;1552.0;962.5;3850.0;620.0;18.0;5890.0;9800.0;142000.0;100.0;956.4;92.3;Métallurgie;"Rosstat p.19-20; headquarters sector, pharma, food, printing"
Московская область;Центральный;8706.0;6890.0;1820.0;110.2;1188.0;712.5;2850.0;420.0;165.0;10200.0;1980.0;98400.0;100.5;724.8;71.1;Métallurgie;"Rosstat p.19-20; pharma, food processing, chemicals, logistics hub"
Тюменская область;Уральский;3830.0;15800.0;4850.0;100.2;8660.0;537.5;2150.0;385.0;82.0;3200.0;785.0;118000.0;98.1;2419.4;59.5;Métallurgie;"Rosstat p.19-20; incl. KhMAO+YANAO; Rosneft/Lukoil/Gazprom - N°1 oil+gas Russie"
Республика Татарстан;Приволжский;4033.0;4220.0;1385.0;106.1;1425.0;462.5;1850.0;158.0;212.0;3750.0;820.0;82000.0;110.1;615.0;53.0;Métallurgie;"Rosstat p.19-20; Tatneft, KamAZ, TANECO refinery, Kazanorgsintez petrochemicals - MAJEUR"
г. Санкт-Петербург;Северо-Западный;5601.0;6150.0;1285.0;107.8;890.0;545.0;2180.0;245.0;38.0;3850.0;2200.0;112000.0;100.8;525.8;52.4;Métallurgie;"Rosstat p.19-20; shipbuilding, pharma, electronics, port St-Petersburg"
Свердловская область;Уральский;4252.0;3985.0;1195.0;105.5;1185.0;562.5;2250.0;185.0;65.0;2980.0;720.0;89200.0;101.5;595.7;51.0;Métallurgie;"Rosstat p.19-20; EVRAZ, NLMK, Uralvagonzavod, VSMPO titanium, copper UGMK - MAJEUR O2/N2"
Ямало-Ненецкий АО;Уральский;568.0;5280.0;1780.0;105.4;2764.0;71.2;285.0;145.0;5.0;480.0;128.0;158000.0;97.0;726.8;49.5;Métallurgie;"Rosstat p.19-20; YANAO N°1 gaz naturel Russie 85% prod; Gazprom, Novatek, YAMALLNG"
Красноярский край;Сибирский;2827.0;4580.0;1485.0;103.8;2025.0;462.5;1850.0;165.0;82.0;1580.0;485.0;98500.0;101.8;747.4;48.6;Métallurgie;"Rosstat p.19-20; Norilsk Nickel (nickel/copper/PGM), RUSAL aluminium, coal, forestry - MAJEUR"
Кемеровская область;Сибирский;2611.0;2850.0;812.0;103.8;1679.0;246.2;985.0;125.0;48.0;1120.0;382.0;82100.0;104.5;550.0;45.4;Métallurgie;"Rosstat p.19-20; Kuzbass N°1 charbon Russie 60%, EVRAZ steel Novokuznetsk, chemicals"
Краснодарский край;Южный;5943.0;4250.0;1050.0;108.4;592.0;321.2;1285.0;148.0;420.0;5800.0;1350.0;72800.0;103.2;366.6;44.7;Métallurgie;"Rosstat p.19-20; Novorossiysk port (N°1 Russie), oil, agro, tourism, cement"
Иркутская область;Сибирский;2327.0;2685.0;755.0;105.2;1246.0;246.2;985.0;98.0;52.0;1250.0;368.0;82500.0;100.8;441.1;42.9;Métallurgie;"Rosstat p.19-20; RUSAL Bratsk Al (N°1 Al monde), oil/gas IRKUTSK OIL, chemicals Sayankhimplast"
Самарская область;Приволжский;3156.0;3015.0;762.0;105.8;790.0;345.0;1380.0;118.0;102.0;2380.0;585.0;72800.0;103.6;387.6;41.0;Métallurgie;"Rosstat p.19-20; AvtoVAZ, Kuibyshev Refinery, chemicals, aerospace, AK Bars"
