Region_Oblast;Federal_District;EIII_Regional_Score;Mining_Output_bln_rub;Metallurgy_Proxy_bln_rub;Chemical_Petrochemical_bln_rub;Manufacturing_Total_bln_rub;Energy_Gas_Water_bln_rub;Agriculture_bln_rub;Ind_Production_Index_2024;Agro_Index_2024;Gas_Total_Demand_Proxy_bln_rub;O2_Oxygen_Need_Score_0_10;N2_Nitrogen_Need_Score_0_10;H2_Hydrogen_Need_Score_0_10;CO2_Need_Score_0_10;Ar_Argon_Need_Score_0_10;AirLiquide_Priority;Key_Industrial_Players;Source_Rosstat_Page
Тюменская область;Уральский;59.5;7800.0;8660.0;537.5;2150.0;385.0;82.0;100.2;98.1;2419.4;10.0;10.0;10.0;10.0;10.0;TIER 1 - CRITIQUE;Rosstat p.19-20;"Rosstat p.19-20; incl. KhMAO+YANAO; Rosneft/Lukoil/Gazprom - N°1 oil+gas Russie"
Ханты-Мансийский АО – Югра;Уральский;37.2;4850.0;5124.0;171.2;685.0;185.0;8.0;96.5;93.9;1349.1;10.0;10.0;10.0;5.44;10.0;TIER 1 - CRITIQUE;Rosstat p.19-20;"Rosstat p.19-20; KhMAO N°1 pétrole Russie 42%; Rosneft, Lukoil, Surgutneftegaz"
г. Москва;Центральный;92.3;12.0;1552.0;962.5;3850.0;620.0;18.0;106.3;100.0;956.4;10.0;10.0;10.0;10.0;10.0;TIER 1 - CRITIQUE;Rosstat p.19-20;"Rosstat p.19-20; headquarters sector, pharma, food, printing"
Красноярский край;Сибирский;48.6;1285.0;2025.0;462.5;1850.0;165.0;82.0;103.8;101.8;747.4;10.0;10.0;10.0;10.0;10.0;TIER 1 - CRITIQUE;Rosstat p.19-20;"Rosstat p.19-20; Norilsk Nickel (nickel/copper/PGM), RUSAL aluminium, coal, forestry - MAJEUR"
Ямало-Ненецкий АО;Уральский;49.5;2650.0;2764.0;71.2;285.0;145.0;5.0;105.4;97.0;726.8;10.0;10.0;6.0;2.33;10.0;TIER 1 - CRITIQUE;Rosstat p.19-20;"Rosstat p.19-20; YANAO N°1 gaz naturel Russie 85% prod; Gazprom, Novatek, YAMALLNG"
Московская область;Центральный;71.1;48.0;1188.0;712.5;2850.0;420.0;165.0;110.2;100.5;724.8;10.0;10.0;10.0;10.0;10.0;TIER 1 - CRITIQUE;Rosstat p.19-20;"Rosstat p.19-20; pharma, food processing, chemicals, logistics hub"
Республика Татарстан;Приволжский;53.0;685.0;1425.0;462.5;1850.0;158.0;212.0;106.1;110.1;615.0;10.0;10.0;10.0;10.0;10.0;TIER 1 - CRITIQUE;Rosstat p.19-20;"Rosstat p.19-20; Tatneft, KamAZ, TANECO refinery, Kazanorgsintez petrochemicals - MAJEUR"
Свердловская область;Уральский;51.0;285.0;1185.0;562.5;2250.0;185.0;65.0;105.5;101.5;595.7;10.0;10.0;10.0;10.0;10.0;TIER 1 - CRITIQUE;Rosstat p.19-20;"Rosstat p.19-20; EVRAZ, NLMK, Uralvagonzavod, VSMPO titanium, copper UGMK - MAJEUR O2/N2"
Кемеровская область;Сибирский;45.4;1285.0;1679.0;246.2;985.0;125.0;48.0;103.8;104.5;550.0;10.0;10.0;10.0;9.19;10.0;TIER 1 - CRITIQUE;Rosstat p.19-20;"Rosstat p.19-20; Kuzbass N°1 charbon Russie 60%, EVRAZ steel Novokuznetsk, chemicals"
г. Санкт-Петербург;Северо-Западный;52.4;18.0;890.0;545.0;2180.0;245.0;38.0;107.8;100.8;525.8;10.0;10.0;10.0;10.0;10.0;TIER 1 - CRITIQUE;Rosstat p.19-20;"Rosstat p.19-20; shipbuilding, pharma, electronics, port St-Petersburg"
