AccountID,Name,Industry,City,Status
ACC-1001,Gaz Prom LLC,Metallurgy,Nizhny Novgorod,Active
ACC-1002,Nizhny Med LLC,Automotive,Dzerzhinsk,Onboarding
ACC-1003,Volga Food LLC,Electronics,Nizhny Novgorod,Active
ACC-1004,Rus Zavod LLC,Metallurgy,Bor,Inactive
ACC-1005,Sormovo Motors LLC,Food & Beverage,Kstovo,Active
ACC-1006,Oka Alloys LLC,Chemicals,Kstovo,Active
ACC-1007,Oka Med LLC,Electronics,Nizhny Novgorod,Active
ACC-1008,Tech Tech LLC,Metallurgy,Bor,Onboarding
ACC-1009,Oka Food LLC,Automotive,Nizhny Novgorod,Inactive
ACC-1010,Euro Motors LLC,Chemicals,Bor,Onboarding
ACC-1011,Avto Motors LLC,Automotive,Nizhny Novgorod,Active
ACC-1012,Gorky Group LLC,Food & Beverage,Nizhny Novgorod,Inactive
ACC-1013,Avto Med LLC,Food & Beverage,Nizhny Novgorod,Inactive
ACC-1014,Gaz Zavod LLC,Healthcare,Nizhny Novgorod,Onboarding
ACC-1015,Tech Group LLC,Metallurgy,Bor,Active
ACC-1016,Nizhny Steel LLC,Chemicals,Nizhny Novgorod,Active
ACC-1017,Tech Chem LLC,Food & Beverage,Nizhny Novgorod,Active
ACC-1018,Avto Food LLC,Food & Beverage,Nizhny Novgorod,Active
ACC-1019,Gorky Prom LLC,Electronics,Nizhny Novgorod,Active
ACC-1020,Oka Food LLC,Automotive,Kstovo,Active
ACC-1021,Tech Steel LLC,Electronics,Arzamas,Onboarding
ACC-1022,Oka Tech LLC,Automotive,Nizhny Novgorod,Active
ACC-1023,Euro Chem LLC,Food & Beverage,Nizhny Novgorod,Inactive
ACC-1024,Tech Chem LLC,Food & Beverage,Nizhny Novgorod,Active
ACC-1025,Euro Chem LLC,Chemicals,Nizhny Novgorod,Active
ACC-1026,Nizhny Zavod LLC,Electronics,Nizhny Novgorod,Active
ACC-1027,Rus Group LLC,Electronics,Nizhny Novgorod,Active
ACC-1028,Avto Steel LLC,Food & Beverage,Nizhny Novgorod,Inactive
ACC-1029,Sormovo Zavod LLC,Healthcare,Nizhny Novgorod,Onboarding
ACC-1030,Euro Group LLC,Food & Beverage,Nizhny Novgorod,Active
ACC-1031,Gaz Group LLC,Chemicals,Nizhny Novgorod,Onboarding
ACC-1032,Rus Food LLC,Electronics,Dzerzhinsk,Active
ACC-1033,Euro Steel LLC,Automotive,Arzamas,Active
ACC-1034,Sormovo Tech LLC,Healthcare,Nizhny Novgorod,Inactive
ACC-1035,Volga Chem LLC,Healthcare,Bor,Active
ACC-1036,Nizhny Food LLC,Food & Beverage,Nizhny Novgorod,Active
ACC-1037,Tech Food LLC,Automotive,Kstovo,Active
ACC-1038,Sormovo Tech LLC,Metallurgy,Nizhny Novgorod,Onboarding
ACC-1039,Tech Group LLC,Chemicals,Nizhny Novgorod,Active
ACC-1040,Volga Motors LLC,Metallurgy,Kstovo,Inactive
ACC-1041,Gaz Alloys LLC,Automotive,Bor,Active
