DeliveryID,SalesOrderID,Date,Status,TruckPlate
DEL-4A0D1C2A,SO-E873F2E8,2025-12-09,Completed,T679BK 152
DEL-A46953DD,SO-D2514E98,2026-03-15,Completed,O789AB 152
DEL-EBEE9EEA,SO-95F58749,2026-07-01,Completed,B608PK 152
DEL-CD289472,SO-6791B958,2025-08-14,Completed,H252BX 152
DEL-DF7AF725,SO-426F9783,2025-09-01,Completed,K409HO 152
DEL-2FB22C54,SO-5B510ADB,2026-03-06,Completed,O478CO 152
DEL-73D0BBBE,SO-935AF15B,2025-12-27,Completed,E780TC 152
DEL-F6EA91D0,SO-5AA879DF,2025-09-06,Completed,M709YC 152
DEL-274C16D1,SO-3FB36F75,2026-03-25,Completed,X828XK 152
DEL-5B7FE8D0,SO-7367F51B,2025-11-22,Completed,Y176HT 152
DEL-334173C7,SO-21BBBBB9,2025-08-16,Completed,T633AK 152
DEL-11AE84A9,SO-83128896,2025-09-14,Completed,A322AE 152
DEL-40BEAE5A,SO-0F870B7F,2025-11-26,Completed,K257BO 152
DEL-F444B6BA,SO-E5312346,2025-09-27,Completed,H769PH 152
DEL-0B97FCDC,SO-256A41E1,2026-01-24,Completed,Y875MX 152
DEL-A2CD5C93,SO-F67C1ECF,2026-06-30,Completed,O592TO 152
DEL-6CD8AE90,SO-C0B798FF,2025-10-16,Completed,E971PC 152
DEL-FE2D3E35,SO-3F3A5095,2025-08-30,Completed,P174AP 152
DEL-A58E04DF,SO-BC7E9E20,2026-01-20,Completed,B415PC 152
DEL-0E2D7110,SO-8DCE0926,2025-08-02,Completed,P153MY 152
DEL-0255F98B,SO-128DC515,2025-11-09,Completed,K424TH 152
DEL-094CAA9D,SO-1A2C52C2,2025-07-27,Completed,K752HC 152
DEL-1EF32B7B,SO-FFF6B94F,2026-05-11,Completed,H273OY 152
DEL-650C7E2E,SO-3A3FEAEB,2026-05-22,Completed,P296TX 152
DEL-A6DF049E,SO-2810044C,2026-01-20,Completed,X472ET 152
DEL-C7465938,SO-B9876C99,2026-07-04,Completed,M127AM 152
DEL-E60A368A,SO-1FBDAA52,2026-05-31,Completed,X794ET 152
DEL-197243F1,SO-2FDEE44C,2025-08-27,Completed,X421OO 152
DEL-004A21E3,SO-B9FA2F2B,2026-05-13,Completed,M713PP 152
DEL-4C13AC9C,SO-9AE471D7,2026-06-03,Completed,M539OY 152
DEL-A7F5525D,SO-AE247241,2026-01-10,Completed,M821TO 152
DEL-74FF494D,SO-F98B9D46,2025-11-06,Completed,T161BP 152
DEL-529C0746,SO-98EFC2BF,2025-09-09,Completed,M547TM 152
DEL-7C6BDBF9,SO-E345CC8B,2026-05-12,Completed,K979YT 152
DEL-A6362D80,SO-999E64B8,2026-01-31,Completed,C254YT 152
DEL-621E5CA3,SO-F25EFDE5,2026-01-08,Completed,B289EA 152
DEL-4E64FEC8,SO-A342D13A,2026-04-15,Completed,T187KH 152
DEL-810B0EB7,SO-FF9304E0,2025-12-10,Completed,Y596MX 152
DEL-C79A44D1,SO-129C7315,2025-10-26,Completed,M770PB 152
DEL-3AB72491,SO-C0B82039,2026-04-22,Completed,P925XX 152
DEL-6183A74F,SO-1C30814C,2025-07-11,Completed,Y910ME 152
DEL-1505F51E,SO-9221DB60,2026-06-06,Completed,X807EK 152
